SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,SECTOR
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,EQ,29-APR-2003,1,1,INE572A01036,1,Healthcare
JLHL,Jupiter Life Line Hospitals Limited,EQ,18-SEP-2023,10,1,INE682M01012,10,Healthcare
JUBLPHARMA,Jubilant Pharmova Limited,EQ,16-JUN-2003,1,1,INE700A01033,1,Healthcare
KILITCH,Kilitch Drugs (India) Limited,BE,29-SEP-2010,10,1,INE729D01010,10,Healthcare
KIMS,Krishna Institute of Medical Sciences Limited,EQ,28-JUN-2021,2,1,INE967H01025,2,Healthcare
KOPRAN,Kopran Limited,EQ,09-JUN-1999,10,1,INE082A01010,10,Healthcare
KREBSBIO,Krebs Biochemicals and Industries Limited,BE,03-JAN-1996,10,1,INE268B01013,10,Healthcare
KRSNAA,Krsnaa Diagnostics Limited,EQ,16-AUG-2021,5,1,INE08LI01020,5,Healthcare
LALPATHLAB,Dr. Lal Path Labs Ltd.,EQ,23-DEC-2015,10,1,INE600L01024,10,Healthcare
LASA,Lasa Supergenerics Limited,BE,21-SEP-2017,10,1,INE670X01014,10,Healthcare
LAURUSLABS,Laurus Labs Limited,EQ,19-DEC-2016,2,1,INE947Q01028,2,Healthcare
LAXMIDENTL,Laxmi Dental Limited,EQ,20-JAN-2025,2,1,INE0WO601020,2,Healthcare
LINCOLN,Lincoln Pharmaceuticals Limited,EQ,17-DEC-2015,10,1,INE405C01035,10,Healthcare
LOTUSEYE,Lotus Eye Hospital and Institute Limited,EQ,11-JUL-2008,10,1,INE947I01017,10,Healthcare
LUPIN,Lupin Limited,EQ,10-SEP-2001,2,1,INE326A01037,2,Healthcare
LYKALABS,Lyka Labs Limited,EQ,08-FEB-1995,10,1,INE933A01014,10,Healthcare
MANGALAM,Mangalam Drugs And Organics Limited,EQ,23-MAY-2005,10,1,INE584F01014,10,Healthcare
MANKIND,Mankind Pharma Limited,EQ,09-MAY-2023,1,1,INE634S01028,1,Healthcare
MARKSANS,Marksans Pharma Limited,EQ,21-JAN-2002,1,1,INE750C01026,1,Healthcare
MAXHEALTH,Max Healthcare Institute Limited,EQ,21-AUG-2020,10,1,INE027H01010,10,Healthcare
MAXIND,Max India Limited,EQ,28-AUG-2020,10,1,INE0CG601016,10,Healthcare
MEDANTA,Global Health Limited,EQ,16-NOV-2022,2,1,INE474Q01031,2,Healthcare
MEDIASSIST,Medi Assist Healthcare Services Limited,EQ,23-JAN-2024,5,1,INE456Z01021,5,Healthcare
MEDICAMEQ,Medicamen Biotech Limited,EQ,27-OCT-2021,10,1,INE646B01010,10,Healthcare
MEDICO,Medico Remedies Limited,EQ,26-MAY-2022,2,1,INE630Y01024,2,Healthcare
MEDPLUS,Medplus Health Services Limited,EQ,23-DEC-2021,2,1,INE804L01022,2,Healthcare
MEGASOFT,Megasoft Limited,BE,19-JUL-2007,10,1,INE933B01012,10,Healthcare
METROPOLIS,Metropolis Healthcare Limited,EQ,15-APR-2019,2,1,INE112L01020,2,Healthcare
MOREPENLAB,Morepen Laboratories Limited,EQ,24-NOV-1999,2,1,INE083A01026,2,Healthcare
NATCAPSUQ,Natural Capsules Limited,EQ,14-FEB-2025,10,1,INE936B01015,10,Healthcare
NATCOPHARM,Natco Pharma Limited,EQ,27-DEC-1995,2,1,INE987B01026,2,Healthcare
NECLIFE,Nectar Lifesciences Limited,BE,18-JUL-2005,1,1,INE023H01027,1,Healthcare
NEULANDLAB,Neuland Laboratories Limited,EQ,13-OCT-2008,10,1,INE794A01010,10,Healthcare
NGLFINE,NGL Fine-Chem Limited,EQ,08-JUL-2022,5,1,INE887E01022,5,Healthcare
NH,Narayana Hrudayalaya Ltd.,EQ,06-JAN-2016,10,1,INE410P01011,10,Healthcare
