SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,SECTOR
KRONOX,Kronox Lab Sciences Limited,EQ,10-JUN-2024,10,1,INE0ATZ01017,10,Basic Materials
KSCL,Kaveri Seed Company Limited,EQ,04-OCT-2007,2,1,INE455I01029,2,Basic Materials
KSL,Kalyani Steels Limited,EQ,19-MAY-2010,5,1,INE907A01026,5,Basic Materials
KUANTUM,Kuantum Papers Limited,EQ,23-OCT-2019,1,1,INE529I01021,1,Basic Materials
LINDEINDIA,Linde India Limited,EQ,16-JUN-1999,10,1,INE473A01011,10,Basic Materials
LLOYDSENT,Lloyds Enterprises Limited,EQ,17-OCT-2024,1,1,INE080I01025,1,Basic Materials
LLOYDSME,Lloyds Metals And Energy Limited,EQ,17-JUL-2023,1,1,INE281B01032,1,Basic Materials
LORDSCHLO,Lords Chloro Alkali Limited,BE,28-AUG-2023,10,1,INE846D01012,10,Basic Materials
LXCHEM,Laxmi Organic Industries Limited,EQ,25-MAR-2021,2,1,INE576O01020,2,Basic Materials
MAANALU,Maan Aluminium Limited,BE,22-OCT-2007,5,1,INE215I01027,5,Basic Materials
MADRASFERT,Madras Fertilizers Limited,EQ,25-JUL-1997,10,1,INE414A01015,10,Basic Materials
MAGNUM,Magnum Ventures Limited,EQ,20-SEP-2007,10,1,INE387I01016,10,Basic Materials
MAHASTEEL,Mahamaya Steel Industries Limited,BE,01-JUL-2016,10,1,INE451L01014,10,Basic Materials
MAHSEAMLES,Maharashtra Seamless Limited,EQ,25-AUG-2004,5,1,INE271B01025,5,Basic Materials
MAITHANALL,Maithan Alloys Limited,EQ,05-JUL-2011,10,1,INE683C01011,10,Basic Materials
MALUPAPER,Malu Paper Mills Limited,EQ,05-APR-2006,10,1,INE383H01017,10,Basic Materials
MANAKALUCO,Manaksia Aluminium Company Limited,EQ,30-MAR-2015,1,1,INE859Q01017,1,Basic Materials
MANAKSTEEL,Manaksia Steels Limited,BE,30-MAR-2015,1,1,INE824Q01011,1,Basic Materials
MANALIPETC,Manali Petrochemicals Limited,EQ,06-DEC-2006,5,1,INE201A01024,5,Basic Materials
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,EQ,22-OCT-2007,10,1,INE558B01017,10,Basic Materials
MANGLMCEM,Mangalam Cement Limited,EQ,03-JAN-1996,10,1,INE347A01017,10,Basic Materials
MANINDS,Man Industries (India) Limited,EQ,24-JUN-2005,5,1,INE993A01026,5,Basic Materials
MANORG,Mangalam Organics Limited,BE,02-NOV-2021,10,1,INE370D01013,10,Basic Materials
MBAPL,Madhya Bharat Agro Products Limited,EQ,22-AUG-2019,10,1,INE900L01010,10,Basic Materials
MCL,Madhav Copper Limited,EQ,19-AUG-2020,5,1,INE813V01022,5,Basic Materials
MIDHANI,Mishra Dhatu Nigam Limited,EQ,04-APR-2018,10,1,INE099Z01011,10,Basic Materials
MMP,MMP Industries Limited,EQ,09-JAN-2020,10,1,INE511Y01018,10,Basic Materials
MOIL,MOIL Limited,EQ,15-DEC-2010,10,1,INE490G01020,10,Basic Materials
MOL,Meghmani Organics Limited,EQ,18-AUG-2021,1,1,INE0CT101020,1,Basic Materials
MSPL,MSP Steel & Power Limited,EQ,18-JUL-2005,10,1,INE752G01015,10,Basic Materials
MUKANDLTD,Mukand Limited,EQ,23-FEB-2004,10,1,INE304A01026,10,Basic Materials
NACLIND,NACL Industries Limited,BE,07-APR-2017,1,1,INE295D01020,1,Basic Materials
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,EQ,15-JUN-2016,1,1,INE454M01024,1,Basic Materials
NARMADA,Narmada Agrobase Limited,EQ,27-OCT-2022,10,1,INE117Z01011,10,Basic Materials
NATHBIOGEN,Nath Bio-Genes (India) Limited,BE,28-JAN-2014,10,1,INE448G01010,10,Basic Materials
NATIONALUM,National Aluminium Company Limited,EQ,28-APR-1999,5,1,INE139A01034,5,Basic Materials
NAVINFLUOR,Navin Fluorine International Limited,EQ,01-JUN-2007,2,1,INE048G01026,2,Basic Materials
NAVKARURB,Navkar Urbanstructure Limited,BE,17-JAN-2025,1,1,INE268H01044,1,Basic Materials
NCLIND,NCL Industries Limited,EQ,03-APR-2007,10,1,INE732C01016,10,Basic Materials
NEOGEN,Neogen Chemicals Limited,EQ,08-MAY-2019,10,1,INE136S01016,10,Basic Materials
NFL,National Fertilizers Limited,EQ,28-DEC-2006,10,1,INE870D01012,10,Basic Materials
NMDC,NMDC Limited,EQ,03-MAR-2008,1,1,INE584A01023,1,Basic Materials
NOCIL,NOCIL Limited,EQ,17-JAN-1996,10,1,INE163A01018,10,Basic Materials
